id;the_geom;junction;type;lanes;maxspeed;oneway;foot;bicycle;access;bus;parking_la;sidewalk;cycleway
roads.1;MULTILINESTRING ((1.49147 43.521512300000005, 1.4915268999999998 43.521552299999996));;residential;1;50.0;;;;;;;;
roads.2;MULTILINESTRING ((1.4915268999999998 43.521552299999996, 1.49147 43.521512300000005));;residential;1;50.0;;;;;;;;
roads.3;MULTILINESTRING ((1.4915268999999998 43.521552299999996, 1.4918394 43.52177849999998, 1.4921016000000002 43.52197400000001, 1.4922150999999997 43.52204760000001));;residential;1;50.0;;;;;;;;
roads.4;MULTILINESTRING ((1.4922150999999997 43.52204760000001, 1.4921016000000002 43.52197400000001, 1.4918394 43.52177849999998, 1.4915268999999998 43.521552299999996));;residential;1;50.0;;;;;;;;
roads.5;MULTILINESTRING ((1.4922150999999997 43.52204760000001, 1.4922755000000003 43.5220881));;residential;1;50.0;;;;;;;;
roads.6;MULTILINESTRING ((1.4922755000000003 43.5220881, 1.4922150999999997 43.52204760000001));;residential;1;50.0;;;;;;;;
roads.7;MULTILINESTRING ((1.4922755000000003 43.5220881, 1.4924942 43.522229800000005));;residential;1;50.0;;;;;;;;
roads.8;MULTILINESTRING ((1.4924942 43.522229800000005, 1.4922755000000003 43.5220881));;residential;1;50.0;;;;;;;;
roads.9;MULTILINESTRING ((1.4924942 43.522229800000005, 1.4925546000000003 43.522276399999974));;residential;1;50.0;;;;;;;;
roads.10;MULTILINESTRING ((1.4925546000000003 43.522276399999974, 1.4924942 43.522229800000005));;residential;1;50.0;;;;;;;;
roads.11;MULTILINESTRING ((1.4925546000000003 43.522276399999974, 1.4926389 43.522345099999995, 1.4927545999999996 43.522507999999995));;residential;1;50.0;;;;;;;;
roads.12;MULTILINESTRING ((1.4927545999999996 43.522507999999995, 1.4926389 43.522345099999995, 1.4925546000000003 43.522276399999974));;residential;1;50.0;;;;;;;;
roads.13;MULTILINESTRING ((1.4927545999999996 43.522507999999995, 1.4929910000000002 43.5228408, 1.4931149 43.52303220000001));;residential;1;50.0;;;;;;;;
roads.14;MULTILINESTRING ((1.4931149 43.52303220000001, 1.4929910000000002 43.5228408, 1.4927545999999996 43.522507999999995));;residential;1;50.0;;;;;;;;
roads.15;MULTILINESTRING ((1.4931149 43.52303220000001, 1.4934720999999997 43.522972499999995, 1.4936568 43.522935200000006, 1.4937249 43.52290879999999));;residential;1;50.0;;;;;;;;
roads.16;MULTILINESTRING ((1.4937249 43.52290879999999, 1.4936568 43.522935200000006, 1.4934720999999997 43.522972499999995, 1.4931149 43.52303220000001));;residential;1;50.0;;;;;;;;
roads.17;MULTILINESTRING ((1.4931149 43.52303220000001, 1.4926752 43.523517299999995));;residential;1;50.0;;;;;;;;
roads.18;MULTILINESTRING ((1.4926752 43.523517299999995, 1.4931149 43.52303220000001));;residential;1;50.0;;;;;;;;
roads.19;MULTILINESTRING ((1.4926752 43.523517299999995, 1.4925965 43.52361970000001, 1.4920793000000003 43.524177299999984, 1.4919447 43.5241863, 1.4918551999999998 43.52416410000001, 1.4917984 43.52414409999998, 1.4917461000000003 43.52409350000001, 1.4917403000000002 43.52404130000001, 1.4922206 43.52349709999999, 1.4923051 43.52346439999999, 1.4923546000000003 43.523448));;residential;1;50.0;;;;;;;;
roads.20;MULTILINESTRING ((1.4923546000000003 43.523448, 1.4923051 43.52346439999999, 1.4922206 43.52349709999999, 1.4917403000000002 43.52404130000001, 1.4917461000000003 43.52409350000001, 1.4917984 43.52414409999998, 1.4918551999999998 43.52416410000001, 1.4919447 43.5241863, 1.4920793000000003 43.524177299999984, 1.4925965 43.52361970000001, 1.4926752 43.523517299999995));;residential;1;50.0;;;;;;;;
roads.21;MULTILINESTRING ((1.4923546000000003 43.523448, 1.4924078 43.52345489999999, 1.4925356 43.5234802, 1.4926752 43.523517299999995));;residential;1;50.0;;;;;;;;
roads.22;MULTILINESTRING ((1.4926752 43.523517299999995, 1.4925356 43.5234802, 1.4924078 43.52345489999999, 1.4923546000000003 43.523448));;residential;1;50.0;;;;;;;;
roads.23;MULTILINESTRING ((1.4989314 43.51535969999998, 1.4988503000000002 43.5153428));;residential;1;50.0;;;;;;;;
roads.24;MULTILINESTRING ((1.4988503000000002 43.5153428, 1.4989314 43.51535969999998));;residential;1;50.0;;;;;;;;
roads.25;MULTILINESTRING ((1.4988503000000002 43.5153428, 1.4988019 43.51533019999997));;residential;1;50.0;;;;;;;;
roads.26;MULTILINESTRING ((1.4988019 43.51533019999997, 1.4988503000000002 43.5153428));;residential;1;50.0;;;;;;;;
roads.27;MULTILINESTRING ((1.4988019 43.51533019999997, 1.4984621999999999 43.51522709999999, 1.4983838999999999 43.51520390000001, 1.4983005999999999 43.515193899999986));;residential;1;50.0;;;;;;;;
roads.28;MULTILINESTRING ((1.4983005999999999 43.515193899999986, 1.4983838999999999 43.51520390000001, 1.4984621999999999 43.51522709999999, 1.4988019 43.51533019999997));;residential;1;50.0;;;;;;;;
roads.29;MULTILINESTRING ((1.4983005999999999 43.515193899999986, 1.4982145999999998 43.515178999999975, 1.4981322 43.515151599999996));;residential;1;50.0;;;;;;;;
roads.30;MULTILINESTRING ((1.4981322 43.515151599999996, 1.4982145999999998 43.515178999999975, 1.4983005999999999 43.515193899999986));;residential;1;50.0;;;;;;;;
roads.31;MULTILINESTRING ((1.4981322 43.515151599999996, 1.4980393999999995 43.51512069999999, 1.4979075 43.5150848, 1.4978344999999997 43.51506709999999));;residential;1;50.0;;;;;;;;
roads.32;MULTILINESTRING ((1.4978344999999997 43.51506709999999, 1.4979075 43.5150848, 1.4980393999999995 43.51512069999999, 1.4981322 43.515151599999996));;residential;1;50.0;;;;;;;;
roads.33;MULTILINESTRING ((1.4954314 43.514715499999994, 1.4953730999999997 43.514733099999994, 1.4952982 43.51473849999997, 1.4948703 43.51477800000001, 1.4944808999999997 43.5148004, 1.4943702999999997 43.514819700000004, 1.4939954 43.51484299999999));;tertiary;1;50.0;yes;;;;;;;
roads.34;MULTILINESTRING ((1.4939954 43.51484299999999, 1.4939476999999999 43.514847299999985));;tertiary;1;50.0;yes;;;;;;;
roads.35;MULTILINESTRING ((1.4939476999999999 43.514847299999985, 1.4937804999999997 43.51486200000001, 1.4936585 43.5148768));;tertiary;1;50.0;yes;;;;;;;
roads.36;MULTILINESTRING ((1.4921167999999998 43.51512759999998, 1.4921291000000003 43.5151652, 1.4921734 43.5152284, 1.4923558999999997 43.51535959999999, 1.492679 43.5155537));;residential;1;50.0;yes;;;;;;;
roads.37;MULTILINESTRING ((1.492679 43.5155537, 1.4929310000000002 43.515670799999995, 1.4931283999999998 43.51575790000001, 1.4932743 43.51582019999999, 1.4935429999999998 43.51590919999998, 1.4941927000000002 43.51606909999998, 1.4944243999999998 43.51616869999998, 1.4947421000000003 43.516355));;residential;1;50.0;yes;;;;;;;
roads.38;MULTILINESTRING ((1.4983135 43.51642179999998, 1.4985443 43.51647369999999, 1.4990158999999998 43.516586));;residential;1;50.0;yes;;;;;;;
roads.39;MULTILINESTRING ((1.4990158999999998 43.516586, 1.4995275 43.51671189999999));;residential;1;50.0;yes;;;;;;;
roads.40;MULTILINESTRING ((1.4995275 43.51671189999999, 1.5006309000000002 43.51700360000002));;residential;1;50.0;yes;;;;;;;
roads.41;MULTILINESTRING ((1.5006309000000002 43.51700360000002, 1.5007725 43.51704099999999));;residential;1;50.0;yes;;;;;;;
roads.42;MULTILINESTRING ((1.5000950000000002 43.51566899999999, 1.5000264 43.51580100000001));;residential;1;50.0;yes;;;;;;;
roads.43;MULTILINESTRING ((1.5000264 43.51580100000001, 1.4999775000000002 43.51589859999998));;residential;1;50.0;yes;;;;;;;
roads.44;MULTILINESTRING ((1.4999775000000002 43.51589859999998, 1.4999268 43.51599359999998));;residential;1;50.0;yes;;;;;;;
roads.45;MULTILINESTRING ((1.4999268 43.51599359999998, 1.4998232 43.516193600000015, 1.4997740000000002 43.516277399999986));;residential;1;50.0;yes;;;;;;;
roads.46;MULTILINESTRING ((1.4997740000000002 43.516277399999986, 1.4996624 43.516467500000005, 1.4996167999999999 43.516560000000005, 1.4995993 43.51659499999998));;residential;1;50.0;yes;;;;;;;
roads.47;MULTILINESTRING ((1.4995993 43.51659499999998, 1.4995275 43.51671189999999));;residential;1;50.0;yes;;;;;;;
roads.48;MULTILINESTRING ((1.4954831000000002 43.514689699999984, 1.4954548999999997 43.51464829999999, 1.4954081 43.51457219999999, 1.4952604 43.51437700000001, 1.4951969 43.51424539999999, 1.4951958 43.51421549999999));;residential;1;50.0;yes;;;;;;;
roads.49;MULTILINESTRING ((1.4951958 43.51421549999999, 1.4951863999999995 43.51397209999999, 1.4951364000000005 43.513735999999994));;residential;1;50.0;yes;;;;;;;
roads.50;MULTILINESTRING ((1.4951364000000005 43.513735999999994, 1.4951382 43.51370729999999, 1.4951398999999999 43.51369039999998));;residential;1;50.0;yes;;;;;;;
roads.51;MULTILINESTRING ((1.5011636 43.5129878, 1.5010719000000001 43.51305299999999, 1.5005321000000003 43.513285800000006));;tertiary;1;50.0;yes;;;;;;;
roads.52;MULTILINESTRING ((1.5005321000000003 43.513285800000006, 1.5005109000000003 43.51329319999999));;tertiary;1;50.0;yes;;;;;;;
roads.53;MULTILINESTRING ((1.5005109000000003 43.51329319999999, 1.5004162999999997 43.513323299999996, 1.5003272000000003 43.51331499999999));;tertiary;1;50.0;yes;;;;;;;
roads.54;MULTILINESTRING ((1.4943596 43.51968359999999, 1.4945696 43.51977489999999, 1.4947983999999999 43.5198735));;residential;1;50.0;;;;;;;;
