route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11821949021891623,6192449487677451,14,Basso Cambo / Marengo - SNCF,Ligne Basso Cambo / Marengo - SNCF,3,,bb9dc6,FFFFFF
11821949021891624,6192449487677451,15,"Jeanne d'Arc / États-Unis Fondeyre","Ligne Jeanne d'Arc / Etats-Unis Fondeyre",3,,a0670f,FFFFFF
11821949021891627,6192449487677451,19,"Borderouge / Place de l'Indépendance","Ligne Borderouge / Place de l'Indépendance",3,,58ac25,FFFFFF
11821949021891629,6192449487677451,20,Balma - Gramont / Beaupuy Mairie,Ligne Balma - Gramont / Beaupuy Mairie,3,,007c52,FFFFFF
11821949021891635,6192449487677451,32,Colomiers Gare SNCF / Brax le Château,Ligne Colomiers Ramassiers Gare SNCF / Brax le Château,3,,a0670f,FFFFFF
11821949021891637,6192449487677451,39,"Jeanne d'Arc / Amouroux","Ligne Jeanne d'Arc / Amouroux",3,,007c52,FFFFFF
11821949021891638,6192449487677451,40,"Borderouge / L'Union Malbou","Ligne Borderouge / L'Union Malbou",3,,dc006b,FFFFFF
11821949021891639,6192449487677451,41,Borderouge / Chaussas,Ligne Borderouge / Chaussas,3,,e46809,FFFFFF
11821949021891640,6192449487677451,42,"Borderouge / Saint-Jean Clinique de L'Union","Ligne Borderouge / Saint-Jean Clinique de L'Union",3,,e46809,FFFFFF
11821949021891641,6192449487677451,46,Pelletier Purpan / Mirail-Université,Ligne Basso Cambo / Pelletier Purpan,3,,dc006b,FFFFFF
11821949021891642,6192449487677451,47,Basso Cambo / Portet Gare SNCF,Ligne Basso Cambo / Portet Gare SNCF,3,,db001b,FFFFFF
11821949021891643,6192449487677451,48,Basso Cambo / Tournefeuille Lycée,Ligne Basso Cambo / Tournefeuille Lycée,3,,007c52,FFFFFF
11821949021891644,6192449487677451,49,Basso Cambo / Portet Gare SNCF,Ligne Basso Cambo / Portet Gare SNCF,3,,004687,FFFFFF
11821949021891645,6192449487677451,50,Basso Cambo / Portet H. Boucher,Ligne Basso Cambo / Portet H. Boucher,3,,a0670f,FFFFFF
11821949021891646,6192449487677451,51,Balma - Gramont / La Terrasse,Ligne Balma - Gramont / La Terrasse,3,,e46809,FFFFFF
11821949021891649,6192449487677451,54,Empalot / Gleyze-Vieille,Ligne Empalot / Gleyze-Vieille,3,,e46809,FFFFFF
11821949021891650,6192449487677451,55,Colomiers Gare SNCF / Plaisance Monestié,Ligne Colomiers Gare SNCF / Plaisance Monestié,3,,db001b,FFFFFF
11821949021891651,6192449487677451,56,Université Paul Sabatier / Auzeville Église,Ligne Université Paul Sabatier / Auzeville Eglise,3,,58ac25,FFFFFF
11821949021891652,6192449487677451,57,Basso Cambo / Frouzins JP Sabatier,Ligne Basso Cambo / Frouzins JP Sabatier,3,,572f08,FFFFFF
11821949021891653,6192449487677451,58,Basso Cambo / Muret Lycée,"Ligne Basso Cambo / Seysses Gay, Seysses Maison d'Arrêt ou Muret Lycée",3,,58ac25,FFFFFF
11821949021891654,6192449487677451,59,La Vache / Lespinasse Viguerie,"Ligne La Vache / Fenouillet Croix, Gagnac Acacias ou Lespinasse Viguerie",3,,3f2682,FFFFFF
11821949021891655,6192449487677451,60,La Vache / Castelginest Buffebiau,Ligne La Vache / Castelginest Buffebiau,3,,3f2682,FFFFFF
11821949021891656,6192449487677451,61,"Trois Cocus / Fonbeauzard Mairie, Montberon ou St Loup","Ligne Trois Cocus / Fonbeauzard Mairie, Montberon ou Saint-Loup",3,,db001b,FFFFFF
11821949021891661,6192449487677451,66,Pelletier Purpan / St Cyprien - République,Ligne Pelletier Purpan / Saint Cyprien - République,3,,007c52,FFFFFF
11821949021891662,6192449487677451,67,Arènes / Plaisance Monestié,Ligne Arènes / Plaisance Monestié,3,,e675a7,FFFFFF
11821949021891664,6192449487677451,69,La Vache / Gratentour Gravette ou Bruguières,Ligne La Vache / Bruguières ou Gratentour Gravette,3,,bb9dc6,FFFFFF
11821949021891665,6192449487677451,70,"Jeanne d'Arc / Aéroconstellation","Ligne Jeanne d'Arc / Aéroconstellation",3,,e675a7,FFFFFF
11821949021891667,6192449487677451,72,Balma - Gramont / Balma Lasbordes,Ligne Balma - Gramont / Balma Lasbordes,3,,004687,FFFFFF
11821949021891668,6192449487677451,73,Borderouge / St Jean Lestang,Ligne Borderouge / Saint-Jean Lestang,3,,db001b,FFFFFF
11821949021891671,6192449487677451,76,Argoulets / Lapeyrouse,Ligne Argoulets / Lapeyrouse,3,,a0670f,FFFFFF
11821949021891673,6192449487677451,78,Université Paul Sabatier / St Orens Lycée,Ligne Université Paul Sabatier / Saint-Orens Lycée,3,,db001b,FFFFFF
11821949021891674,6192449487677451,79,Ramonville Métro / Labège Couder ou St-Orens Lycée,Ligne Ramonville / Labège Couder ou Saint-Orens Lycée,3,,0098d4,FFFFFF
11821949021891675,6192449487677451,80,Rangueil / Belberaud La Balme,Ligne Rangueil / Belberaud La Balme,3,,3f2682,FFFFFF
11821949021891677,6192449487677451,201,Saint Orens Lycée / Varennes En Clavié,Ligne Malepère / Varennes En Clavié,3,,e675a7,FFFFFF
11821949021891678,6192449487677451,202,Castanet Tolosan / Montbrun Lauragais Roumieu,Ligne Castanet-Tolosan / Montbrun-Lauragais Roumieu,3,,58ac25,FFFFFF
11821949021891680,6192449487677451,204,Labège Innopole Gare SNCF / Ayguesvives Collège,Ligne Labège Innopole Gare SNCF / Ayguesvives Collège,3,,db001b,FFFFFF
11821949021891681,6192449487677451,205,Castanet Tolosan / Ayguesvives Collège,Ligne Castanet-Tolosan / Ayguesvives Collège,3,,0098d4,FFFFFF
11821949021891682,6192449487677451,81,Université Paul Sabatier / Castanet-Tolosan,Ligne Université Paul Sabatier / Peries,3,,dc006b,FFFFFF
11821949021891683,6192449487677451,82,Université Paul Sabatier / Ramonville Port-Sud,Ligne Université Paul Sabatier / Ramonville Port Sud,3,,db001b,FFFFFF
11821949021891684,6192449487677451,83,Balma - Gramont / St Orens Lycée,Ligne Balma - Gramont / Saint-Orens Lycée,3,,dc006b,FFFFFF
11821949021891694,6192449487677451,A,Basso Cambo / Balma - Gramont,Ligne Basso Cambo / Balma - Gramont,1,,db001b,FFFFFF
11821949021891895,6192449487677451,43,"Argoulets / Saint-Jean Clinique de L'Union","Ligne Argoulets / Saint-Jean Clinique de L'Union",3,,58ac25,FFFFFF
11821949021891896,6192449487677451,33,Argoulets / Bruguières Mairie,Ligne Argoulets / Bruguières Mairie,3,,0098d4,FFFFFF
11821949021891898,6192449487677451,37,Jolimont / Ramonville Métro,Ligne Jolimont / Ramonville,3,,e46809,FFFFFF
11821949021891899,6192449487677451,105,La Vache / St Jory,Ligne La Vache / Saint-Jory Fabas,3,,e675a7,FFFFFF
11821949021892003,6192449487677451,T1,Aéroconstellation / Palais de Justice,Ligne Palais de Justice / Aéroconstellation,0,,004687,FFFFFF
11821949021892004,6192449487677451,B,Borderouge / Ramonville,Ligne Borderouge / Ramonville,1,,ffdd00,FFFFFF
11821949022345006,6192449487677451,109,Malepère / Castanet-Tolosan,Ligne Malepère / Castanet-Tolosan,3,,e46809,FFFFFF
11821949022374900,6192449487677451,36,Borderouge / Roseraie,Ligne Borderouge / Roseraie,3,,a0670f,FFFFFF
11821949022509040,6192449487677451,21,Basso Cambo / Colomiers Airbus,Ligne Basso Cambo / Colomiers Airbus,3,,007c52,FFFFFF
11821949023083020,6192449487677451,34,Université Paul Sabatier / Arènes,Ligne Université Paul Sabatier / Arènes,3,,e46809,FFFFFF
11821949023193145,6192449487677451,23,"Jeanne d'Arc / Rangueil","Ligne Jeanne d'Arc / Rangueil",3,,a0670f,FFFFFF
11821949023200852,6192449487677451,26,Borderouge / Launaguet Nobles,Ligne Borderouge / Launaguet Nobles,3,,a0670f,FFFFFF
11821949023200854,6192449487677451,27,Lycée Toulouse-Lautrec / Rangueil,Ligne Lycée Toulouse-Lautrec / Ramonville,3,,58ac25,FFFFFF
